evolution$generation,evolution$evaluated,unemploymentShare,workPermitShare,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,informalityError,unemploymentError,evolution$samples,workPermitShare,socialNetworkHierarchy,unemploymentShare,iterations,unemploymentError,perceivedInformalityCoef,jobsNumber,socialNetworkMode,informalityError,replication,jobSimilarityHierarchy,socialNetworkCoef,workersNumber,jobSeekingNumber
4800,4800,0.14595625218716607,0.9,-2.84921116603424,0.0,-3.455285028482993,2.1573856888234264,proximity,0.1621020775011306,0.22368525896414343,26,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264]","[0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.22233067729083666,0.22372509960159362,0.22420318725099603,0.22336653386454183,0.22424302788844622,0.22300796812749005,0.22316733067729083,0.22412350597609562,0.22304780876494024,0.22380478087649402,0.22312749003984064,0.22376494023904384,0.22380478087649402,0.22384462151394424,0.2241633466135458,0.22161354581673307,0.22340637450199205,0.22348605577689243,0.22392430278884462,0.22364541832669324,0.22384462151394424,0.22384462151394424,0.22340637450199205,0.22356573705179283,0.2241633466135458,0.22332669322709164]","[-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.2034672503984688,0.17387945634416024,0.17207459155339078,0.1570220351227707,0.19206739116212246,0.1639872106597391,0.1424753973908056,0.20805190882400415,0.12683319416512823,0.1448871776137678,0.15186335692652253,0.18603844183522378,0.1689302341736435,0.28450861914588443,0.1289280507113798,0.1751356152058411,0.10473713282351865,0.17596342893692807,0.1602169443425221,0.21362239630079793,0.038467194097245416,0.17308608682918325,0.13847047115132893,0.14453264060524473,0.15258126381471593,0.05998676024047417]","[-4805397103116082307,8194053448648926754,-1980969380357427976,-4880849479534300072,-6575601686876734754,-3169555884596940883,448480739290294390,972252333196916551,235686818832723496,-4281525314875805832,8754797356861602394,-5440965831634998217,190813315138005807,-6980557113599508781,-6946290298992678604,-4178783397021468719,731752036230445954,6188663583194918326,-7242480107101017625,1437475898242540266,-3843863147173695421,-9108357333160707448,1283756464851330801,-2115949274777341538,2257849566985305856,3386343361419295187]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
4800,4800,0.25879031343623743,0.1,-1.454048109433101,0.0,-3.213622604743131,1.9576011364866637,random,0.3378262340114059,9.96015936254313E-5,1,"[0.1]","[1.9576011364866637]","[0.25879031343623743]","[500]","[9.96015936254313E-5]","[-1.454048109433101]","[200]","[random]","[0.3378262340114059]","[4759387732782525817]","[0.0]","[-3.213622604743131]","[100]","[20]"
4800,4800,0.6499134571969718,0.9,9.776089180403694,0.0,9.197433726439602,1.7504330390243106,proximity,5.523623870152261E-4,0.47117529880478026,1,"[0.9]","[1.7504330390243106]","[0.6499134571969718]","[500]","[0.47117529880478026]","[9.776089180403694]","[200]","[proximity]","[5.523623870152261E-4]","[-6267077539739066132]","[0.0]","[9.197433726439602]","[100]","[20]"
4800,4800,0.719853664950718,0.9,8.246469816560886,0.0,8.383601427813748,2.10929590603717,proximity,0.13317975082532063,0.4975498007968121,25,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717]","[0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.4954780876494016,0.49595617529880454,0.4997410358565728,0.4963944223107569,0.4971115537848596,0.4946414342629474,0.4953585657370513,0.4958764940239041,0.49691235059760985,0.4975498007968121,0.49790836653386417,0.4961553784860553,0.49388446215139403,0.4976294820717123,0.5003784860557758,0.49794820717131416,0.4979880478087646,0.4971912350597609,0.4920916334661346,0.49838645418326655,0.4987051792828676,0.49790836653386383,0.4979880478087646,0.4982270916334651,0.49926294820717043]","[8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.03815739576144023,0.03237223099091724,0.0352788195058098,0.08668189604642618,0.08386442048848586,0.13317975082532063,0.03280812977869951,0.18637142251394712,0.03528631543879496,0.13043468248462153,0.2860982548370278,0.19000756838677446,0.14112695634416217,0.24072236627410382,0.18409571694236437,0.1891221936534182,0.012422941057061876,0.13253250823392798,0.22942245122395455,0.13375749088964528,0.08646957704121944,0.18891521450299997,0.18017781898676355,0.08330297199347508,0.13510593504917634]","[6558259141944029200,-6519827706492207979,-1787697020924318806,-7127910982678857535,-5689514348135041395,-3053758476054515636,-275996891985298482,-4449451638746570631,3813291251216364378,-6426296163448277232,7608543416564461028,2290963159697502072,3683558055562456249,-1805579144129763790,4778241702977872812,-612363273162309800,-8561279614877221157,7066473579900055901,3929661255539407760,5288285977803471043,4106983771797728294,6533908171011012567,2754950154809653314,-1036720212301831967,-2358117549391268711]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
4800,4800,0.2508584119830912,0.1,10.0,0.0,-1.2132430066651114,4.081329652492899,random,0.004047777338145181,0.025099601593625523,2,"[0.1,0.1]","[4.081329652492899,4.081329652492899]","[0.2508584119830912,0.2508584119830912]","[500,500]","[0.02189243027888435,0.028306772908366695]","[10.0,10.0]","[200,200]","[random,random]","[0.0017208010235617577,0.006374753652728604]","[-619332506254991306,4075393703638940553]","[0.0,0.0]","[-1.2132430066651114,-1.2132430066651114]","[100,100]","[20,20]"
4800,4800,0.41912625810483517,0.9,3.3675531212050576,0.0,-8.364626421772655,0.4300289802799259,proximity,0.1532608662508772,0.29846613545816747,25,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259]","[0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.2918525896414341,0.29217131474103575,0.2940836653386453,0.2983466135458165,0.3020119521912352,0.30332669322709127,0.3085059760956179,0.2922908366533863,0.29197211155378455,0.3009760956175296,0.2981872509960164,0.2986254980079681,0.30336653386454193,0.30416334661354616,0.2958366533864545,0.2986254980079678,0.2966733067729085,0.29480079681274884,0.3029681274900399,0.29846613545816747,0.2933665338645418,0.3039243027888445,0.30241035856573706,0.29739043824701183,0.2999003984063747]","[3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.1128080516709069,0.13572571001387662,0.13491281660764454,0.17111032602260823,0.1256178017413972,0.18806332119669966,0.1785682846361043,0.11417336277808571,0.13790253874411018,0.13118888494355307,0.15896113615474805,0.17987764709184084,0.14418982752219978,0.19270179325598158,0.21667515700656137,0.1532608662508772,0.230246846188076,0.09828193755180048,0.11013331286051503,0.22424174183603585,0.11448533165852154,0.16934969327938632,0.15698214393435694,0.16394415093121328,0.13753645072823517]","[3827886421301108980,-4622378830215235879,3980903804233005783,2305475759991532726,587663889404080770,-5615494552346382267,994762568036557549,-7902591670271988115,6730877132790707334,-407260817912876519,-2850609784021437922,-3525331124662750568,-2249148691293656595,-6718739143823544292,-377285329587882292,3847570592867792835,-7735168876428674745,-1079913921763395064,-3426827083068817586,-2507996162647508862,-4725363492973697305,-1702068703897076473,-7271373300898124635,-3351321853767368761,-206633524538001021]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
4800,4800,0.2588125047768324,0.9,-0.6735245123064555,5.0,-3.1161503800077908,2.157506159119433,random,0.29798087709497967,0.0057569721115537376,17,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433]","[0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.007868525896414486,0.005478087649402386,0.009541832669322736,0.003087649402390369,0.0057569721115537376,0.005996015936255011,0.005318725099601629,0.007749003984063724,0.004521912350597651,0.007589641434262745,0.004561752988047674,0.002171314741035768,0.013486055776892325,0.020338645418326834,0.0027290836653386663,0.0019322709163346607,0.006314741035856664]","[-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.31725225088648923,0.2405869816421079,0.3144245095517585,0.3000447147432568,0.2717568166117975,0.2696981147093317,0.35292595000548177,0.287443372025736,0.2989733508092538,0.3033104080463309,0.2891720912050332,0.2590360683150018,0.29798087709497967,0.29506804001693143,0.30845764586401947,0.330137186314584,0.26310616560172373]","[5833160966617118163,-5302319606078327349,7011838574339274893,-3774577539715718859,1183234348550930010,-5300842965386613126,-2960032561264906777,848216715360904352,-8994889844097997010,8369756147228981019,7080916101576407377,7296052346499311972,8876785603602202122,-933259908572598544,-5409500101925723649,7187340015543987131,-7444710228771817018]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
4800,4800,0.2571578094590174,0.1,-2.2933595283663664,0.0,-4.854577483747297,2.546698474252922,proximity,0.3259895280614388,0.004601593625498113,12,"[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1]","[2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922,2.546698474252922]","[0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174,0.2571578094590174]","[500,500,500,500,500,500,500,500,500,500,500,500]","[0.0016932270916334702,0.005159362549800817,0.003207171314740881,0.002689243027888505,0.004601593625498029,0.024402390438246907,0.013007968127490083,0.002290836653386502,0.0067529880478088555,0.015239043824701065,0.004601593625498196,0.0024900398406375035]","[-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664,-2.2933595283663664]","[200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.05028952870592468,0.3338299064354483,0.3161261426878631,0.37310412734188647,0.34392292615716513,0.18777105969763241,0.3235769359227878,0.14354247039163126,0.32840212020008985,0.12739199321886902,0.3312115351587712,0.33277322055212755]","[-2516204369147091544,-4236860124389725978,145224438045417512,-2020155260139461278,-2482866218505981439,-841870394108462972,-2277740194117600677,-2698336400894415259,-2868758439839585161,-1847828758801730219,2961417591656165772,-2068886400762823995]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297,-4.854577483747297]","[100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20]"
4800,4800,0.25971222094251156,0.1,8.542120959788306,0.0,-2.100158153179594,2.8750939076133153,random,0.05909452609764315,0.0073107569721116705,15,"[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1]","[2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153,2.8750939076133153]","[0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156,0.25971222094251156]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.00862549800796833,0.0025298804780874706,0.01834661354581668,0.003366533864541693,0.008984063745019949,0.00758964143426305,0.01460159362549815,0.00527888446215144,0.003446215139442238,0.00858565737051789,0.006792828685258795,0.010458167330677032,0.0073107569721116705,0.0016533864541833365,0.0038446215139441575]","[8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306,8.542120959788306]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.0568987293863667,0.024338610969111274,0.12394828737623664,0.016036922067803938,0.04119188958390885,0.06383524700638188,0.0835022919579112,0.04281663933168234,0.05909452609764315,0.08113477190099427,0.012669956584539677,0.07169174743975093,0.07542420751944612,0.04652143235332523,0.06039664127407446]","[4936785605179093084,-2363887189129647369,-2139001149862988515,6595583711754365233,-6861897758056209240,9007581761434756452,-1593224471070753662,7041991778204237634,5656279130096152726,-4777105088627103249,-7773673998995577051,-8528529916436566858,475912162706340096,8643615803623419426,346620132741560093]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594,-2.100158153179594]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
4800,4800,0.2622134962708352,0.9,-3.2126308760299818,0.0,-4.240206951411752,2.0464646198958896,random,0.17640485679399953,0.014362549800796598,19,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896,2.0464646198958896]","[0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352,0.2622134962708352]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.014362549800796598,0.013207171314741029,0.005398406374501813,0.015637450199203012,0.017828685258964,0.002290836653386613,0.011374501992031827,0.001294820717131523,0.00794820717131478,0.022490039840637605,0.03344621513944221,0.02372509960159358,0.004322709163346566,0.016354581673306612,7.768924302790914E-4,0.010856573705179257,0.016872509960159515,0.02045816733067729,0.020338645418326723]","[-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818,-3.2126308760299818]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.1772817189443623,0.17640485679399953,0.2247283725474597,0.13175806788527855,0.208737147654683,0.21887493413707293,0.16698942653794935,0.1742622696434557,0.1369758193887315,0.14809590594138833,0.18059189326479208,0.17221043367940103,0.20700087301414694,0.1861851461732421,0.1936041312000829,0.15913916795581218,0.13963380893928068,0.15011600016872662,0.18569913095872181]","[5216547449337816290,-4750806340030711655,-1287382376459977957,-7835698447963803803,-3308628972731090048,9183813635639458331,-1105121304890459429,-1093228007346491599,-6003165808609676733,-3923135246720388260,-2464945134499452236,-8886159919667825318,2079869147644473676,5441447243619741349,3548660364666581578,-5803227900084441021,7038871243840926723,1352759197624280488,8149824583598291649]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752,-4.240206951411752]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
