evolution$generation,evolution$evaluated,unemploymentShare,workPermitShare,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,informalityError,unemploymentError,evolution$samples,workPermitShare,socialNetworkHierarchy,unemploymentShare,iterations,unemploymentError,perceivedInformalityCoef,jobsNumber,socialNetworkMode,informalityError,replication,jobSimilarityHierarchy,socialNetworkCoef,workersNumber,jobSeekingNumber
2900,2900,0.719853664950718,0.9,8.246469816560886,0.0,8.383601427813748,2.10929590603717,proximity,0.13180721665497108,0.4966533864541834,16,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717,2.10929590603717]","[0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718,0.719853664950718]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.4954780876494016,0.49595617529880454,0.4997410358565728,0.4963944223107569,0.4971115537848596,0.4946414342629474,0.4953585657370513,0.4958764940239041,0.49691235059760985,0.4975498007968121,0.49790836653386417,0.4961553784860553,0.49388446215139403,0.4976294820717123,0.5003784860557758,0.49794820717131416]","[8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886,8.246469816560886]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.03815739576144023,0.03237223099091724,0.0352788195058098,0.08668189604642618,0.08386442048848586,0.13317975082532063,0.03280812977869951,0.18637142251394712,0.03528631543879496,0.13043468248462153,0.2860982548370278,0.19000756838677446,0.14112695634416217,0.24072236627410382,0.18409571694236437,0.1891221936534182]","[6558259141944029200,-6519827706492207979,-1787697020924318806,-7127910982678857535,-5689514348135041395,-3053758476054515636,-275996891985298482,-4449451638746570631,3813291251216364378,-6426296163448277232,7608543416564461028,2290963159697502072,3683558055562456249,-1805579144129763790,4778241702977872812,-612363273162309800]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748,8.383601427813748]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
2900,2900,0.2597297275844296,0.1,2.42928674368825,5.0,-3.6873566024747584,1.5347273274869693,random,3.354297910335147E-5,0.014123505976095602,1,"[0.1]","[1.5347273274869693]","[0.2597297275844296]","[500]","[0.014123505976095602]","[2.42928674368825]","[200]","[random]","[3.354297910335147E-5]","[-8862404699125205155]","[5.0]","[-3.6873566024747584]","[100]","[20]"
2900,2900,0.2586684226445395,0.9,-5.748255550074421,5.0,-4.110873834952667,3.8733159713522096,random,0.6171908958936919,3.3864541832656636E-4,1,"[0.9]","[3.8733159713522096]","[0.2586684226445395]","[500]","[3.3864541832656636E-4]","[-5.748255550074421]","[200]","[random]","[0.6171908958936919]","[-3798157667119030095]","[5.0]","[-4.110873834952667]","[100]","[20]"
2900,2900,0.41912625810483517,0.9,3.3675531212050576,0.0,-8.364626421772655,0.4300289802799259,proximity,0.1487253468865385,0.29826693227091644,18,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259]","[0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.2918525896414341,0.29217131474103575,0.2940836653386453,0.2983466135458165,0.3020119521912352,0.30332669322709127,0.3085059760956179,0.2922908366533863,0.29197211155378455,0.3009760956175296,0.2981872509960164,0.2986254980079681,0.30336653386454193,0.30416334661354616,0.2958366533864545,0.2986254980079678,0.2966733067729085,0.29480079681274884]","[3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.1128080516709069,0.13572571001387662,0.13491281660764454,0.17111032602260823,0.1256178017413972,0.18806332119669966,0.1785682846361043,0.11417336277808571,0.13790253874411018,0.13118888494355307,0.15896113615474805,0.17987764709184084,0.14418982752219978,0.19270179325598158,0.21667515700656137,0.1532608662508772,0.230246846188076,0.09828193755180048]","[3827886421301108980,-4622378830215235879,3980903804233005783,2305475759991532726,587663889404080770,-5615494552346382267,994762568036557549,-7902591670271988115,6730877132790707334,-407260817912876519,-2850609784021437922,-3525331124662750568,-2249148691293656595,-6718739143823544292,-377285329587882292,3847570592867792835,-7735168876428674745,-1079913921763395064]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
2900,2900,0.25776534442985843,0.1,8.054959999484538,0.0,-2.5492215589186493,4.184738524476606,random,0.03647051888763997,9.362549800797648E-4,1,"[0.1]","[4.184738524476606]","[0.25776534442985843]","[500]","[9.362549800797648E-4]","[8.054959999484538]","[200]","[random]","[0.03647051888763997]","[2735657524122297646]","[0.0]","[-2.5492215589186493]","[100]","[20]"
2900,2900,0.34215208594280544,0.9,-5.02991422718287,0.0,-4.772804481136845,3.032138671244402,random,0.18017044722630426,0.1885458167330675,15,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402]","[0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.1832470119521916,0.19161354581673326,0.19802788844621536,0.18623505976095664,0.1830478087649405,0.19324701195219138,0.19340637450199236,0.18388446215139462,0.18591633466135457,0.19922310756972103,0.1885458167330675,0.18133466135458146,0.1873107569721115,0.1937250996015936,0.18950199203187254]","[-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.22166477275563623,0.23641035778892616,0.22151956406291406,0.18017044722630426,0.18053281758771922,0.16293716939783498,0.19416378462923667,0.11385803437473707,0.2050867930207393,0.1763625296433985,0.15790854013309996,0.14904107844723435,0.173556755362397,0.2714361626778763,0.17651474844159887]","[-9035351394611480119,-8215120897407997190,5049433652761669036,3461651614253262829,8667111635007578737,-6403883944051033022,-3904694632100716107,7087686054275688097,5744812247997101579,5249431076225626889,1399838311950033898,8402597897048794408,-4913335745454953055,-8692462259888343728,-5558833755857574019]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
2900,2900,0.2588125047768324,0.9,-0.6735245123064555,5.0,-3.1161503800077908,2.157506159119433,random,0.2995090327762553,0.0058764940239043745,10,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433,2.157506159119433]","[0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324,0.2588125047768324]","[500,500,500,500,500,500,500,500,500,500]","[0.007868525896414486,0.005478087649402386,0.009541832669322736,0.003087649402390369,0.0057569721115537376,0.005996015936255011,0.005318725099601629,0.007749003984063724,0.004521912350597651,0.007589641434262745]","[-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555,-0.6735245123064555]","[200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random]","[0.31725225088648923,0.2405869816421079,0.3144245095517585,0.3000447147432568,0.2717568166117975,0.2696981147093317,0.35292595000548177,0.287443372025736,0.2989733508092538,0.3033104080463309]","[5833160966617118163,-5302319606078327349,7011838574339274893,-3774577539715718859,1183234348550930010,-5300842965386613126,-2960032561264906777,848216715360904352,-8994889844097997010,8369756147228981019]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908,-3.1161503800077908]","[100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20]"
2900,2900,0.14595625218716607,0.9,-2.84921116603424,0.0,-3.455285028482993,2.1573856888234264,proximity,0.1689302341736435,0.22372509960159362,17,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264]","[0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.22233067729083666,0.22372509960159362,0.22420318725099603,0.22336653386454183,0.22424302788844622,0.22300796812749005,0.22316733067729083,0.22412350597609562,0.22304780876494024,0.22380478087649402,0.22312749003984064,0.22376494023904384,0.22380478087649402,0.22384462151394424,0.2241633466135458,0.22161354581673307,0.22340637450199205]","[-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.2034672503984688,0.17387945634416024,0.17207459155339078,0.1570220351227707,0.19206739116212246,0.1639872106597391,0.1424753973908056,0.20805190882400415,0.12683319416512823,0.1448871776137678,0.15186335692652253,0.18603844183522378,0.1689302341736435,0.28450861914588443,0.1289280507113798,0.1751356152058411,0.10473713282351865]","[-4805397103116082307,8194053448648926754,-1980969380357427976,-4880849479534300072,-6575601686876734754,-3169555884596940883,448480739290294390,972252333196916551,235686818832723496,-4281525314875805832,8754797356861602394,-5440965831634998217,190813315138005807,-6980557113599508781,-6946290298992678604,-4178783397021468719,731752036230445954]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20]"
2900,2900,0.2522142579633278,0.1,9.327429367987229,0.0,-1.4363859699145678,3.8747265469048053,random,0.026395537933662505,0.014402390438247023,6,"[0.1,0.1,0.1,0.1,0.1,0.1]","[3.8747265469048053,3.8747265469048053,3.8747265469048053,3.8747265469048053,3.8747265469048053,3.8747265469048053]","[0.2522142579633278,0.2522142579633278,0.2522142579633278,0.2522142579633278,0.2522142579633278,0.2522142579633278]","[500,500,500,500,500,500]","[0.010298804780876497,0.0019322709163346885,0.020059760956175343,0.01850597609561755,0.008585657370517974,0.027828685258964175]","[9.327429367987229,9.327429367987229,9.327429367987229,9.327429367987229,9.327429367987229,9.327429367987229]","[200,200,200,200,200,200]","[random,random,random,random,random,random]","[0.005575929368515697,0.028518282731308964,0.05280221023656262,0.04327702207933687,0.013329552525442212,0.024272793136016046]","[-6226206219365105967,6521769024149599704,-6586686061712657008,6468572256248020741,-896742598213586532,-5875706126889867929]","[0.0,0.0,0.0,0.0,0.0,0.0]","[-1.4363859699145678,-1.4363859699145678,-1.4363859699145678,-1.4363859699145678,-1.4363859699145678,-1.4363859699145678]","[100,100,100,100,100,100]","[20,20,20,20,20,20]"
2900,2900,0.18494166866186068,0.9,-2.4177735967933263,0.0,-3.439807663369269,1.6098062609306272,proximity,0.1611683621074982,0.20814741035856574,13,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272]","[0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068]","[500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.206394422310757,0.21077689243027892,0.2060358565737052,0.2104183266932271,0.2030876494023905,0.206792828685259,0.2106175298804781,0.2104183266932271,0.2111354581673307,0.2106573705179283,0.20762948207171317,0.20814741035856574,0.20699203187250997]","[-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263]","[200,200,200,200,200,200,200,200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity]","[0.198583038046653,0.16750464058401693,0.1611683621074982,0.13590286661567152,0.11183665936370313,0.1558383972667191,0.11282418935938948,0.21257763048054967,0.2417563252921251,0.16014451595755008,0.17832008927383025,0.25702325927294434,0.06138547456331539]","[4049269753306097070,8247637756948987603,-6369040897162469316,-2384475223052962465,-5581168306762597547,-352591117132907299,4586237522007106558,6439699986298413293,8381992176020270189,-3242805324049603478,-8056395355959314285,2694183163150377150,-8424616017436265124]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269]","[100,100,100,100,100,100,100,100,100,100,100,100,100]","[20,20,20,20,20,20,20,20,20,20,20,20,20]"
